county_fips,county_type,source,raw_code
13001,Suburban,Fallback_PopQuantiles,37338
13003,Rural,Fallback_PopQuantiles,16870
13005,Rural,Fallback_PopQuantiles,22090
13007,Rural,Fallback_PopQuantiles,5464
13009,Suburban,Fallback_PopQuantiles,87288
13011,Suburban,Fallback_PopQuantiles,40636
13013,Urban,Fallback_PopQuantiles,192588
13015,Urban,Fallback_PopQuantiles,235016
13017,Suburban,Fallback_PopQuantiles,33890
13019,Suburban,Fallback_PopQuantiles,37332
13021,Urban,Fallback_PopQuantiles,314112
13023,Rural,Fallback_PopQuantiles,25252
13025,Suburban,Fallback_PopQuantiles,37590
13027,Suburban,Fallback_PopQuantiles,32688
13029,Suburban,Fallback_PopQuantiles,102210
13031,Urban,Fallback_PopQuantiles,170908
13033,Suburban,Fallback_PopQuantiles,48944
13035,Suburban,Fallback_PopQuantiles,54254
13037,Rural,Fallback_PopQuantiles,10882
13039,Suburban,Fallback_PopQuantiles,118198
13043,Rural,Fallback_PopQuantiles,22260
13045,Urban,Fallback_PopQuantiles,259822
13047,Suburban,Fallback_PopQuantiles,137880
13049,Rural,Fallback_PopQuantiles,26042
13051,Urban,Fallback_PopQuantiles,614672
13053,Rural,Fallback_PopQuantiles,17096
13055,Suburban,Fallback_PopQuantiles,50612
13057,Urban,Fallback_PopQuantiles,587026
13059,Urban,Fallback_PopQuantiles,259990
13061,Rural,Fallback_PopQuantiles,5630
13063,Urban,Fallback_PopQuantiles,595406
13065,Rural,Fallback_PopQuantiles,13742
13067,Urban,Fallback_PopQuantiles,1575076
13069,Suburban,Fallback_PopQuantiles,87702
13071,Suburban,Fallback_PopQuantiles,93954
13073,Urban,Fallback_PopQuantiles,334944
13075,Suburban,Fallback_PopQuantiles,35968
13077,Urban,Fallback_PopQuantiles,316466
13079,Rural,Fallback_PopQuantiles,24698
13081,Suburban,Fallback_PopQuantiles,38936
13083,Suburban,Fallback_PopQuantiles,32136
13085,Suburban,Fallback_PopQuantiles,67496
13087,Suburban,Fallback_PopQuantiles,58782
13089,Urban,Fallback_PopQuantiles,1540614
13091,Suburban,Fallback_PopQuantiles,39260
13093,Rural,Fallback_PopQuantiles,22372
13095,Suburban,Fallback_PopQuantiles,164836
13097,Urban,Fallback_PopQuantiles,303774
13099,Rural,Fallback_PopQuantiles,20888
13101,Rural,Fallback_PopQuantiles,7396
13103,Suburban,Fallback_PopQuantiles,146296
13105,Suburban,Fallback_PopQuantiles,40304
13107,Suburban,Fallback_PopQuantiles,46448
13109,Rural,Fallback_PopQuantiles,21738
13111,Suburban,Fallback_PopQuantiles,51708
13113,Urban,Fallback_PopQuantiles,250214
13115,Urban,Fallback_PopQuantiles,202780
13117,Urban,Fallback_PopQuantiles,560192
13119,Suburban,Fallback_PopQuantiles,50416
13121,Urban,Fallback_PopQuantiles,2180708
13123,Suburban,Fallback_PopQuantiles,66654
13125,Rural,Fallback_PopQuantiles,6016
13127,Urban,Fallback_PopQuantiles,173080
13129,Suburban,Fallback_PopQuantiles,121530
13131,Suburban,Fallback_PopQuantiles,52542
13133,Suburban,Fallback_PopQuantiles,42182
13135,Urban,Fallback_PopQuantiles,2007738
13137,Suburban,Fallback_PopQuantiles,99330
13139,Urban,Fallback_PopQuantiles,443490
13141,Rural,Fallback_PopQuantiles,17366
13143,Suburban,Fallback_PopQuantiles,64808
13145,Suburban,Fallback_PopQuantiles,73858
13147,Suburban,Fallback_PopQuantiles,56104
13149,Rural,Fallback_PopQuantiles,24238
13151,Urban,Fallback_PopQuantiles,518630
13153,Urban,Fallback_PopQuantiles,349794
13155,Rural,Fallback_PopQuantiles,18310
13157,Urban,Fallback_PopQuantiles,187650
13159,Suburban,Fallback_PopQuantiles,34438
13161,Suburban,Fallback_PopQuantiles,30238
13163,Suburban,Fallback_PopQuantiles,30038
13165,Rural,Fallback_PopQuantiles,17672
13167,Rural,Fallback_PopQuantiles,18356
13169,Suburban,Fallback_PopQuantiles,58094
13171,Suburban,Fallback_PopQuantiles,41380
13173,Rural,Fallback_PopQuantiles,20928
13175,Suburban,Fallback_PopQuantiles,100574
13177,Suburban,Fallback_PopQuantiles,68146
13179,Suburban,Fallback_PopQuantiles,137214
13181,Rural,Fallback_PopQuantiles,16098
13183,Suburban,Fallback_PopQuantiles,40878
13185,Urban,Fallback_PopQuantiles,244164
13187,Suburban,Fallback_PopQuantiles,72032
13189,Suburban,Fallback_PopQuantiles,43528
13191,Rural,Fallback_PopQuantiles,23600
13193,Rural,Fallback_PopQuantiles,23662
13195,Suburban,Fallback_PopQuantiles,65542
13197,Rural,Fallback_PopQuantiles,15270
13199,Suburban,Fallback_PopQuantiles,42878
13201,Rural,Fallback_PopQuantiles,11648
13205,Suburban,Fallback_PopQuantiles,40658
13207,Suburban,Fallback_PopQuantiles,62874
13209,Rural,Fallback_PopQuantiles,17132
13211,Suburban,Fallback_PopQuantiles,43880
13213,Suburban,Fallback_PopQuantiles,82632
13215,Urban,Fallback_PopQuantiles,403660
13217,Urban,Fallback_PopQuantiles,248020
13219,Suburban,Fallback_PopQuantiles,89502
13221,Suburban,Fallback_PopQuantiles,32344
13223,Urban,Fallback_PopQuantiles,377098
13225,Suburban,Fallback_PopQuantiles,58426
13227,Suburban,Fallback_PopQuantiles,73160
13229,Suburban,Fallback_PopQuantiles,41338
13231,Suburban,Fallback_PopQuantiles,41338
13233,Suburban,Fallback_PopQuantiles,89220
13235,Rural,Fallback_PopQuantiles,20360
13237,Suburban,Fallback_PopQuantiles,46766
13239,Rural,Fallback_PopQuantiles,4646
13241,Suburban,Fallback_PopQuantiles,35422
13243,Rural,Fallback_PopQuantiles,12170
13245,Urban,Fallback_PopQuantiles,412606
13247,Urban,Fallback_PopQuantiles,195220
13249,Rural,Fallback_PopQuantiles,9006
13251,Suburban,Fallback_PopQuantiles,28650
13253,Rural,Fallback_PopQuantiles,18548
13255,Suburban,Fallback_PopQuantiles,140584
13257,Suburban,Fallback_PopQuantiles,54996
13259,Rural,Fallback_PopQuantiles,9618
13261,Suburban,Fallback_PopQuantiles,57944
13263,Rural,Fallback_PopQuantiles,11510
13265,Rural,Fallback_PopQuantiles,3240
13267,Suburban,Fallback_PopQuantiles,48550
13269,Rural,Fallback_PopQuantiles,15566
13271,Rural,Fallback_PopQuantiles,22000
13273,Rural,Fallback_PopQuantiles,17396
13275,Suburban,Fallback_PopQuantiles,92108
13277,Suburban,Fallback_PopQuantiles,83416
13279,Suburban,Fallback_PopQuantiles,54976
13281,Suburban,Fallback_PopQuantiles,26368
13283,Rural,Fallback_PopQuantiles,12840
13285,Suburban,Fallback_PopQuantiles,143026
13287,Rural,Fallback_PopQuantiles,18046
13289,Rural,Fallback_PopQuantiles,15456
13291,Suburban,Fallback_PopQuantiles,55202
13293,Suburban,Fallback_PopQuantiles,56716
13295,Suburban,Fallback_PopQuantiles,138680
13297,Urban,Fallback_PopQuantiles,219584
13299,Suburban,Fallback_PopQuantiles,72444
13301,Rural,Fallback_PopQuantiles,10296
13303,Suburban,Fallback_PopQuantiles,39668
13305,Suburban,Fallback_PopQuantiles,64264
13307,Rural,Fallback_PopQuantiles,4630
13309,Rural,Fallback_PopQuantiles,14152
13311,Suburban,Fallback_PopQuantiles,59336
13313,Urban,Fallback_PopQuantiles,210140
13315,Rural,Fallback_PopQuantiles,17808
13317,Rural,Fallback_PopQuantiles,19134
13319,Rural,Fallback_PopQuantiles,17334
13321,Suburban,Fallback_PopQuantiles,40524
