county_fips,median_income,county_name
13243,39353,Randolph County
13003,44737,Atkinson County
13017,47699,Ben Hill County
13007,50682,Baker County
13161,51290,Jeff Davis County
13259,51806,Stewart County
13165,52146,Jenkins County
13307,52500,Webster County
13141,52730,Hancock County
13261,53246,Sumter County
13265,53523,Taliaferro County
13001,53535,Appling County
13049,55139,Charlton County
13269,55175,Taylor County
13299,55394,Ware County
13095,55548,Dougherty County
13301,56603,Warren County
13055,56615,Chattooga County
13287,56789,Turner County
13173,56842,Lanier County
13193,57467,Macon County
13033,57594,Burke County
13107,57762,Emanuel County
13075,57935,Cook County
13053,58294,Chattahoochee County
13263,58353,Talbot County
13163,58434,Jefferson County
13303,58977,Washington County
13005,59143,Bacon County
13091,59725,Dodge County
13271,60016,Telfair County
13069,60314,Coffee County
13099,60495,Early County
13081,60633,Crisp County
13189,61579,McDuffie County
13071,61639,Colquitt County
13309,61652,Wheeler County
13167,61849,Johnson County
13273,61971,Terrell County
13305,62080,Wayne County
13315,62254,Wilcox County
13109,62261,Evans County
13209,62457,Montgomery County
13319,62500,Wilkinson County
13235,62716,Pulaski County
13181,63201,Lincoln County
13267,63236,Tattnall County
13087,63281,Decatur County
13239,63598,Quitman County
13197,63705,Marion County
13245,63861,Richmond County
13205,64286,Mitchell County
13019,64401,Berrien County
13175,64909,Laurens County
13179,64921,Liberty County
13063,65181,Clayton County
13111,65360,Fannin County
13131,65887,Grady County
13037,65921,Calhoun County
13321,66528,Worth County
13119,66697,Franklin County
13293,66773,Upson County
13199,67010,Meriwether County
13105,67236,Elbert County
13277,67383,Tift County
13021,67657,Bibb County
13191,67694,McIntosh County
13093,67696,Dooly County
13317,67989,Wilkes County
13027,68181,Brooks County
13279,68349,Toombs County
13233,68413,Polk County
13283,68506,Treutlen County
13253,68607,Seminole County
13043,69191,Candler County
13251,69411,Screven County
13025,69752,Brantley County
13101,69766,Echols County
13023,70000,Bleckley County
13183,70224,Long County
13289,70598,Twiggs County
13215,71311,Muscogee County
13065,71476,Clinch County
13285,71540,Troup County
13257,71542,Stephens County
13155,71866,Irwin County
13295,72472,Walker County
13159,72813,Jasper County
13229,73239,Pierce County
13313,73554,Whitfield County
13185,73604,Lowndes County
13035,73793,Butts County
13255,73935,Spalding County
13195,73943,Madison County
13009,73995,Baldwin County
13281,74021,Towns County
13079,74128,Crawford County
13147,74403,Hart County
13083,74767,Dade County
13201,75184,Miller County
13213,75358,Murray County
13115,75375,Floyd County
13149,75685,Heard County
13125,75845,Glascock County
13129,75902,Gordon County
13061,76042,Clay County
13249,76818,Schley County
13031,77052,Bulloch County
13241,77382,Rabun County
13137,78671,Habersham County
13039,80200,Camden County
13059,80356,Clarke County
13247,80675,Rockdale County
13217,80856,Newton County
13123,81685,Gilmer County
13143,81777,Haralson County
13171,81813,Lamar County
13275,82808,Thomas County
13127,82831,Glynn County
13011,83913,Banks County
13291,83996,Union County
13047,84256,Catoosa County
13169,84587,Jones County
13237,84754,Putnam County
13221,85174,Oglethorpe County
13045,85249,Carroll County
13051,85265,Chatham County
13311,85799,White County
13013,86369,Barrow County
13227,87302,Pickens County
13225,87400,Peach County
13187,87401,Lumpkin County
13097,89242,Douglas County
13151,90093,Henry County
13139,90997,Hall County
13015,92489,Bartow County
13153,92678,Houston County
13157,95013,Jackson County
13211,96270,Morgan County
13297,96431,Walton County
13135,97369,Gwinnett County
13103,97943,Effingham County
13177,99590,Lee County
13089,101059,DeKalb County
13133,101615,Greene County
13207,102056,Monroe County
13231,102868,Pike County
13085,103003,Dawson County
13223,104039,Paulding County
13145,104333,Harris County
13029,107896,Bryan County
13077,108944,Coweta County
13073,110499,Columbia County
13057,118861,Cherokee County
13067,119399,Cobb County
13121,123181,Fulton County
13113,124983,Fayette County
13219,137986,Oconee County
13117,153330,Forsyth County
